entity,attribute
carts,[]
application,[]
json,[]
Mapped,
methods,dump
public,dumpjson
na,[]
GET,[]
repository,[]
org.springframework.data.rest.webmvc.RootResourceInformation,[]
java.lang.String,[]
type,fffffffffffffffffffffffffffffffffffggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrreeeeeeeeeeeeeeeeeeeeeeeee
hal,[]
charset,[]
UTF,[]
java.lang.Object,[]
org.springframework.http.ResponseEntity,[]
class,[]
throws,[]
afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,error
server,921506
ost,[]
org.springframework.hateoas.ResourceSupport,[]
org.springframework.data.rest.webmvc.PersistentEntityResourceAssembler,[]
search,[]
java.io.Serializable,[]
JMX,refreshEndpoint
bean,[]
Mapping,servletaewrerwarewewrrew
Bean,vdkjvfdjkkbdbgkdbkgdnbjkdgjkdbjdmlkbmlfnblfdmnldjnbldfbmlgdbndklbnkgltudrlbndtubnrudlbndtulnbtulbntrldbndtunbkdltntuklndktlnbtrlkdknbjgnbfjlkgbdnjlktnbldmgdlkblshuslfehsbjksfjdkgjfsghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
path,[]
org.springframework.web.HttpRequestMethodNotSupportedException,[]
org.springframework.http.HttpEntity,[]
POST,[]
thread,[]
customerId,[]
Exception,[]
id,[]
OPTIONS,[]
true,[]
text,[]
property,[]
profile,[]
org.springframework.web.servlet.resource.ResourceHttpRequestHandler,[]
name,orgspringframeworkcloudendpoint
java.lang.Exception,[]
handler,[]
exposure,[]
as,[]
URL,[]
startup,[]
registering,[]
org.springframework.data.rest.webmvc.support.DefaultedPageable,[]
items,[]
autodetected,[]
Tomcat,[]
MBean,[]
HEAD,[]
x,[]
while,[]
versionList,[]
version,[]
state,[]
spring,[]
serverValue,43
roundTripTimeNanos,[]
refreshScope,[]
proxying,[]
out,[]
org.springframework.data.rest.webmvc.ResourceNotFoundException,[]
org.springframework.data.domain.Sort,[]
org.springframework.context.annotation.AnnotationConfigApplicationContext,[]
ok,[]
null,[]
monitor,[]
minWireVersion,[]
maxWireVersion,[]
maxDocumentSize,[]
localValue,[]
javax.servlet.http.HttpServletRequest,[]
example,[]
env,[]
description,[]
date,[]
data,[]
connectionId,[]
connection,
connected,[]
compact,[]
all,[]
ServerVersion,[]
ServerDescription,[]
STANDALONE,[]
Opened,[]
Nov,[]
Monitor,[]
Method,[]
GMT,[]
Fri,[]
BeanPostProcessors,[]
51521cc1,[]
1b40d5f0,[]
uri,[]
resource,[]
parent,[]
org.springframework.util.MultiValueMap,[]
org.springframework.hateoas.Resources,[]
org.springframework.data.rest.webmvc.support.ETag,[]
org.springframework.data.rest.webmvc.PersistentEntityResource,[]
